Position	StartingPosition	StartingTime	Age	Category	Swim	Cycle	Run	Total
212	355	10:13:30	41	H	00:09:02 	00:46:34 	00:30:11	01:25:47
213	61	09:00:00	50	J	00:07:58 	00:49:00 	00:28:51	01:25:49
214	330	10:07:15	51	J	00:11:46 	00:48:12 	00:25:53	01:25:51
215	152	09:22:45	47	I	00:08:13 	00:46:24 	00:31:26	01:26:03
216	368	10:16:45	32	F	00:08:40 	00:49:26 	00:27:57	01:26:03
217	250	09:47:15	41	H	00:09:49 	00:48:23 	00:28:02	01:26:14
218	113	09:13:00	38	G	00:06:51 	00:51:00 	00:28:27	01:26:18
219	166	09:26:15	53	J	00:09:31 	00:48:21 	00:28:28	01:26:20
220	446	10:36:15	23	D	00:07:05 	00:48:36 	00:31:04	01:26:45
221	159	09:24:30	46	I	00:08:41 	00:48:09 	00:29:58	01:26:48
222	382	10:20:15	49	I	00:08:41 	00:52:17 	00:25:57	01:26:55
223	136	09:18:45	46	I	00:09:40 	00:48:21 	00:28:57	01:26:58
224	318	10:04:15	32	F	00:10:07 	00:48:03 	00:28:49	01:26:59
225	310	10:02:15	47	I	00:08:56 	00:52:49 	00:25:16	01:27:01
226	92	09:07:45	37	G	00:07:24 	00:46:53 	00:32:45	01:27:02
227	185	09:31:00	34	F	00:09:23 	00:49:56 	00:27:43	01:27:02
228	263	09:50:30	49	I	00:09:00 	00:51:12 	00:26:51	01:27:03
229	396	10:23:45	40	H	00:10:17 	00:48:09 	00:28:46	01:27:12
230	205	09:36:00	56	K	00:08:52 	00:50:43 	00:27:40	01:27:15
232	372	10:17:45	31	F	00:09:42 	00:51:09 	00:26:25	01:27:16
231	229	09:42:00	17	C	00:07:39 	00:53:43 	00:25:54	01:27:16
233	218	09:39:15	56	K	00:09:27 	00:48:19 	00:29:35	01:27:21
234	258	09:49:15	36	G	00:09:01 	00:46:59 	00:31:28	01:27:28
235	412	10:27:45	44	H	00:09:52 	00:53:59 	00:23:53	01:27:44
236	38	08:54:15	29	E	01:38:51 	00:40:21 	00:29:15	01:27:45
237	367	10:16:30	28	E	00:07:48 	00:52:54 	00:27:08	01:27:50
238	406	10:26:15	31	F	00:11:12 	00:49:10 	00:27:33	01:27:55
239	317	10:04:00	33	F	00:09:05 	00:51:46 	00:27:06	01:27:57
240	168	09:26:45	37	G	00:07:54 	00:53:16 	00:26:52	01:28:02
241	226	09:41:15	58	K	00:08:07 	00:49:35 	00:30:25	01:28:07
242	299	10:00:34	53	J	00:08:48 	00:50:02 	00:29:25	01:28:15
243	239	09:44:30	56	K	00:09:48 	00:51:36 	00:26:58	01:28:22
244	181	09:30:00	36	G	00:07:36 	00:49:18 	00:31:30	01:28:24
245	389	10:22:00	29	E	00:11:12 	00:50:07 	00:27:22	01:28:41
246	280	09:54:45	50	J	00:09:08 	00:51:10 	00:28:27	01:28:45
247	216	09:38:45	46	I	00:08:38 	00:49:45 	00:30:24	01:28:47
248	362	10:15:15	38	G	00:10:56 	00:49:25 	00:28:28	01:28:49
249	365	10:16:00	44	H	00:09:47 	00:49:37 	00:29:34	01:28:58
250	81	09:05:00	45	I	00:07:17 	00:50:16 	00:31:27	01:29:00
251	393	10:23:00	40	H	00:09:00 	00:50:02 	00:30:01	01:29:03
252	232	09:42:45	54	J	00:09:51 	00:51:24 	00:27:52	01:29:07
253	262	09:50:15	53	J	00:08:18 	00:54:33 	00:26:19	01:29:10
254	170	09:27:15	35	G	00:08:51 	00:52:09 	00:28:16	01:29:16
255	222	09:40:15	45	I	00:09:12 	00:51:20 	00:28:52	01:29:24
256	422	10:30:15	47	I	00:10:33 	00:51:37 	00:27:16	01:29:26
257	281	09:55:00	40	H	00:08:30 	00:49:05 	00:31:53	01:29:28
258	347	10:11:30	35	G	00:11:42 			01:29:28
259	275	09:53:30	36	G			00:28:03	01:29:33
260	346	10:11:15	57	K	00:09:33 	00:51:59 	00:28:03	01:29:35
261	322	10:05:15	42	H	00:08:54 	00:52:34 	00:28:11	01:29:39
262	219	09:39:30	47	I	00:08:59 	00:48:37 	00:32:07	01:29:43
263	380	10:19:45	42	H	00:09:42 	00:48:52 	00:31:32	01:30:06
264	420	10:29:45	33	F	00:11:07 	00:49:38 	00:29:29	01:30:14
265	289	09:57:00	17	C	00:10:26 	00:53:37 	00:26:13	01:30:16
266	194	09:33:15	48	I	00:09:22 	00:48:43 	00:32:15	01:30:20
267	257	09:49:00	38	G	00:09:28 	00:51:37 	00:29:18	01:30:23
268	167	09:26:30	41	H			00:29:12	01:30:25
269	42	08:55:15	32	F	00:07:07 	00:53:13 	00:30:21	01:30:41
270	663	11:30:30	48	I	00:09:20 	00:51:59 	00:29:45	01:31:04
271	255	09:48:30	15	A	00:08:26 	00:56:19 	00:26:24	01:31:09
272	254	09:48:15	20	D	00:09:36 	00:51:07 	00:30:30	01:31:13
273	126	09:16:15	38	G	00:10:05 	00:50:58 	00:30:12	01:31:15
274	660	11:29:45	29	E			00:31:21	01:31:21
275	237	09:44:00	61	L	00:10:14 	00:51:08 	00:30:02	01:31:24
276	104	09:10:45	47	I	00:08:25 	00:51:14 	00:31:47	01:31:26
277	240	09:44:45	53	J	00:09:10 	00:47:46 	00:34:31	01:31:27
278	405	10:26:00	53	J	00:13:31 	00:50:25 	00:27:46	01:31:42
279	398	10:24:15	47	I	00:10:22 	00:52:37 	00:28:44	01:31:43
280	401	10:25:00	44	H	00:13:07 	00:52:50 	00:26:00	01:31:57
281	358	10:14:15	44	H	00:10:22 	00:52:30 	00:29:39	01:32:31
282	118	09:14:15	42	H	00:09:16 	00:53:27 	00:29:59	01:32:42
283	291	09:57:30	66	M	00:09:23 	00:52:23 	00:31:14	01:33:00
284	301	10:00:00	31	F			00:31:07	01:33:12
285	236	09:43:45	46	I	00:10:37 	00:51:16 	00:31:21	01:33:14
286	220	09:39:45	38	G	00:08:36 	00:48:33 	00:36:17	01:33:26
287	272	09:52:45	43	H	00:09:31 	00:54:10 	00:29:50	01:33:31
288	183	09:30:30	42	H	00:08:55 	00:54:00 	00:30:39	01:33:34
289	188	09:31:45	32	F	00:08:00 	00:57:48 	00:27:51	01:33:39
290	342	10:10:15	15	A			00:29:05	01:33:40
291	381	10:20:00	45	I	00:14:12 	00:52:48	00:26:42	01:33:42
292	119	09:14:30	40	H	00:11:15 			01:33:59
