"FROTA";"ANO";"MES";"EFF";"LAGE";"BRANCA"
"BRA";2003;12;44000;5030,48;1263,46
"BRA";2003;1;7500;100,39;40,23
"BRA";2003;4;5250;831,34;2430,49
"BRA";2003;4;750;69,04;455,27
"BRA";2003;5;750;140,17;90,65
"BRA";2003;5;6000;1359,9;1319,88
"BRA";2003;6;2250;810,77;299,59
"BRA";2003;6;750;439,42;197,36
"BRA";2003;6;1500;519,99;289,91
"BRA";2003;8;3000;418,22;520,43
"BRA";2003;8;1500;279,22;420,54
"BRA";2003;9;8102;5785,13;1189,44
"BRA";2003;10;7850;5974,29;486,78
"BRA";2003;10;686;549,96;80,29
"BRA";2003;11;7134;2869,53;395,13
"BRA";2003;11;1435;270,61;51,27
"BRA";2003;12;750;111,17;19,28
"BRA";2003;12;2120;329,18;34,55
"BRA";2003;12;1450;309,69;22,4
"BRA";2003;12;2150;311,44;65,01
"BRA";2003;11;3600;27,8;21,63
"BRA";2003;11;NA;NA;NA
"BRA";2003;11;4400;22,06;19,81
"BRA";2003;12;17000;22,19;20,38
"BRA-ESP";2003;1;28565;122,16;180,3
"BRA-ESP";2003;1;40656;4638,14;1838,99
"BRA-ESP";2003;1;NA;NA;NA
"BRA-ESP";2003;1;1050;274,35;73,92
"BRA-ESP";2003;10;2052;211,45;20,71
"BRA-ESP";2003;10;NA;NA;NA
"BRA-ESP";2003;10;7714;630,37;217,78
"BRA-ESP";2003;11;24472;1760,62;701,24
"BRA-ESP";2003;11;3306;894,24;478,76
"BRA-ESP";2003;11;7346;445,85;180,45
"BRA-ESP";2003;11;3306;239,25;320,66
"BRA-ESP";2003;12;16058;4915,63;839,8
"BRA-ESP";2003;12;1073;701,1;79,35
"BRA-ESP";2003;12;1070;119,01;60,17
"BRA-ESP";2003;12;20609;1101,11;1000,44
"BRA-ESP";2003;12;26510;11318,51;10292,88
"BRA-ESP";2003;12;18949;3760,29;4277,95
"BRA-ESP";2003;12;1100;1500,2;798,36
"BRA";2004;2;2300;129,57;46,43
"BRA";2004;3;7000;99,27;208,05
"BRA";2004;4;32590;228,77;39,44
"BRA";2004;4;NA;NA;NA
"BRA";2004;4;17090;126,83;520,92
"BRA";2004;5;1100;738,83;2597,34
"BRA";2004;5;20200;258,51;1300,11
"BRA";2004;5;2080;50,84;62,52
"BRA";2004;6;20430;1143,41;867,23
"BRA";2004;6;30700;2704,42;2464,7
"BRA";2004;6;8600;8289,01;978,87
"BRA";2004;7;21640;117,84;465,65
"BRA";2004;7;30450;215,36;703,52
"BRA";2004;7;9850;5591,61;1494,61
"BRA";2004;8;15000;156,86;118,91
"BRA";2004;8;NA;NA;NA
"BRA";2004;9;7500;168,16;65,74
"BRA";2004;9;40200;788,4;680,72
"BRA";2004;9;43000;1264,36;501,07
"BRA";2004;9;1900;2188,15;32,13
"BRA";2004;10;3800;18,95;123,98
"BRA";2004;10;29750;383,84;444,72
"BRA";2004;11;23300;1801,18;184,68
"BRA";2004;12;NA;NA;NA
"BRA";2004;12;9000;268,07;25,79
"BRA";2004;1;86540;9258,69;1183,15
"BRA";2004;1;11200;177,58;36,71
"BRA";2004;2;27000;4712,68;2570,67
"BRA";2004;2;2400;281,01;40,37
"BRA";2004;3;47900;6468,27;135,77
"BRA";2004;4;NA;NA;NA
"BRA";2004;4;NA;NA;NA
"BRA";2004;5;13900;1359,22;81,33
"BRA";2004;5;53000;6497,35;478,12
"BRA";2004;5;NA;NA;NA
"BRA";2004;6;NA;NA;NA
"BRA";2004;6;4660;467,55;36,91
"BRA";2004;7;6400;211,4;27,43
"BRA";2004;7;78112;7412,39;1148,63
"BRA";2004;7;17595;451,05;39,62
"BRA";2004;8;13497;1434,62;285,89
"BRA";2004;8;40357;5312,43;816,4
"BRA";2004;9;52356;5504,39;1579,29
"BRA";2004;9;NA;NA;NA
"BRA";2004;10;109195;12163;3906,13
"BRA";2004;10;69576;4789,89;944,64
"BRA";2004;10;2550;300,59;20,18
"BRA";2004;11;3600;364,88;120,16
"BRA";2004;11;NA;NA;NA
"BRA";2004;11;166310;28177,74;5120,55
"BRA";2004;12;11200;595,75;194,4
"BRA";2004;12;149499;22636,74;2406,01
"BRA";2004;12;69801;4186,69;638,03
"BRA";2004;12;11643;568,07;225,75
"BRA";2004;7;7260;711,06;243,49
"BRA";2004;7;3640;585,43;359,9
"BRA";2004;2;19800;61,43;19,1
"BRA";2004;5;8850;19,99;255,93
"BRA";2004;5;32000;701,13;260,15
