Sigla,Código,Município,Domicílios - com água encanada - pessoas (2000),Domicílios - com energia elétrica - pessoas (2000),Domicílios - com telefone - pessoas (2000),Domicílios - com carro - pessoas (2000),Domicílios - com computador - pessoas (2000),Domícilios - número (2000),
MG,3139607,Mantena,91.522,93.376,16.937,18.507,3.363,7787,
MG,3139706,Maravilhas,89.481,97.948,24.527,36.095,2.804,1551,
MG,3139805,Mar de Espanha,96.811,97.735,24.69,29.432,5.745,3176,
MG,3139904,Maria da Fé,94.833,98.52,18.141,28.399,6.792,3600,
MG,3140001,Mariana,93.1,97.009,24.25,33.544,10.726,11836,
MG,3140100,Marilac,60.343,90.736,8.691,9.576,1.264,1119,
MG,3140159,Mário Campos,92.365,98.069,28.751,26.096,3.224,2720,
MG,3140209,Maripá de Minas,98.643,97.786,21.768,27.235,3.15,744,
MG,3140308,Marliéria,86.484,95.155,10.003,29.322,1.755,1068,
MG,3140407,Marmelópolis,95.283,98.092,11.625,22.493,3.067,851,
MG,3140506,Martinho Campos,91.456,99.176,19.771,29.189,4.202,3409,
MG,3140530,Martins Soares,79.479,95.137,6.799,29.317,1.511,1512,
MG,3140555,Mata Verde,74.164,86.939,7.808,9.441,1.168,1769,
MG,3140605,Materlândia,52.039,73.347,6.15,10.949,1.416,1131,
MG,3140704,Mateus Leme,89.176,97.593,29.582,30.08,7.108,6596,
MG,3140803,Matias Barbosa,96.676,98.235,36.274,28.119,5.921,3432,
MG,3140852,Matias Cardoso,32.175,77.103,8.178,8.352,1.201,1815,
MG,3140902,Matipó,94.555,96.227,9.847,21.952,2.829,4034,
MG,3141009,Mato Verde,66.686,92.991,10.56,14.691,1.633,3456,
MG,3141108,Matozinhos,95.57,99.868,27.711,30.382,6.077,7693,
MG,3141207,Matutina,94.535,98.544,30.633,33.714,3.289,1229,
MG,3141306,Medeiros,94.457,92.452,17.185,52.088,2.765,910,
MG,3141405,Medina,53.775,79.711,10.65,9.376,0.663,5348,
MG,3141504,Mendes Pimentel,81.014,92.876,8.172,13.744,1.47,1715,
MG,3141603,Mercês,88.986,83.06,12.617,20.867,2.478,2756,
MG,3141702,Mesquita,83.019,91.246,8.754,22.252,1.121,1666,
MG,3141801,Minas Novas,45.767,46.439,3.306,9.432,1.116,6266,
MG,3141900,Minduri,96.126,96.849,23.801,29.092,4.184,994,
MG,3142007,Mirabela,52.317,90.253,10.012,14.381,1.048,2906,
MG,3142106,Miradouro,90.041,89.051,13.363,21.973,2.185,2705,
MG,3142205,Miraí,98.171,97.547,23.504,27.532,3.533,3434,
MG,3142254,Miravânia,30.863,72.574,3.991,7.427,0.592,922,
MG,3142304,Moeda,95.777,98.601,15.792,36.137,2.473,1211,
MG,3142403,Moema,96.614,99.714,34.404,36.817,3.702,1850,
MG,3142502,Monjolos,74.503,93.359,10.719,15.756,0.489,614,
MG,3142601,Monsenhor Paulo,98.176,99.728,18.552,39.926,3.712,2064,
MG,3142700,Montalvânia,45.953,79.22,9.726,9.023,1.304,3635,
MG,3142809,Monte Alegre de Minas,91.922,96.163,34.596,39.531,3.661,5572,
MG,3142908,Monte Azul,63.718,94.325,8.3,20.079,1.466,6190,
MG,3143005,Monte Belo,95.31,96.989,11.083,35.234,3.399,3713,
MG,3143104,Monte Carmelo,94.619,98.592,23.669,35.726,3.745,12733,
MG,3143153,Monte Formoso,31.229,36.441,5.149,5.696,0.976,974,
MG,3143203,Monte Santo de Minas,98.312,98.6,34.117,43.251,6.316,6354,
MG,3143302,Montes Claros,87.987,98.398,43.257,31.05,8.592,76603,
MG,3143401,Monte Sião,87.036,99.922,36.793,55.403,8.213,5122,
MG,3143450,Montezuma,29.395,65.689,4.549,9.991,0.63,1392,
MG,3143500,Morada Nova de Minas,89.146,98.13,13.594,28.02,2.248,2247,
MG,3143609,Morro da Garça,90.846,96.33,10.966,21.521,0.66,739,
MG,3143708,Morro do Pilar,74.9,87.904,11.832,18.636,1.264,1001,
MG,3143807,Munhoz,90.323,94.631,14.778,44.159,1.85,1756,
MG,3143906,Muriaé,97.998,99.354,39.637,30.828,7.331,26226,
MG,3144003,Mutum,85.115,93.112,7.651,19.179,3.015,7064,
MG,3144102,Muzambinho,99.151,99.222,24.35,54.297,7.753,5873,
MG,3144201,Nacip Raydan,63.245,87.209,8.429,8.827,0.428,797,
MG,3144300,Nanuque,78.501,98.241,23.619,16.895,3.834,11393,
MG,3144359,Naque,87.84,96.922,12.701,16.785,1.237,1402,
MG,3144375,Natalândia,62.069,79.999,8.827,17.267,1.382,849,
MG,3144409,Natércia,95.274,99.6,21.291,40.659,3.512,1376,
MG,3144508,Nazareno,93.459,97.734,13.711,27.829,2.654,1914,
MG,3144607,Nepomuceno,95.202,99.421,18.859,32.844,3.284,6745,
MG,3144656,Ninheira,21.034,54.528,1.839,10.348,0.328,2041,
MG,3144672,Nova Belém,63.333,88.171,5.787,15.162,0.634,1144,
MG,3144706,Nova Era,95.335,98.702,25.831,33.141,8.873,4552,
MG,3144805,Nova Lima,97.56,99.36,51.739,40.398,16.315,17008,
MG,3144904,Nova Módica,69.742,89.192,8.61,8.48,0.784,1092,
MG,3145000,Nova Ponte,98.744,98.993,40.366,45.06,5.29,2627,
MG,3145059,Nova Porteirinha,70.248,96.614,8.18,14.908,0.879,1703,
MG,3145109,Nova Resende,97.186,97.506,17.903,48.979,3.182,4020,
MG,3145208,Nova Serrana,98.004,99.939,31.899,30.275,4.457,9829,
MG,3145307,Novo Cruzeiro,37.64,53.159,3.595,7.146,0.466,6823,
MG,3145356,Novo Oriente de Minas,36.698,68.209,4.532,6.475,0.926,2382,
MG,3145372,Novorizonte,36.579,72.688,3.873,12.78,0.571,1150,
MG,3145406,Olaria,91.181,90.293,9.258,24.885,1.302,640,
MG,3145455,Olhos-d'Água,63.057,82.48,3.342,11.495,0.185,1001,
MG,3145505,Olímpio Noronha,91,97.916,14.513,24.133,2.518,600,
MG,3145604,Oliveira,96.705,99.084,32.906,35.47,5.161,10120,
MG,3145703,Oliveira Fortes,92.562,94.456,10.784,21.098,1.102,606,
MG,3145802,Onça de Pitangui,94.84,98.685,18.978,34.811,1.453,815,
MG,3145851,Oratórios,95.95,97.145,9.897,17.881,0.978,1041,
MG,3145877,Orizânia,94.196,98.288,6.207,22.369,0.519,1661,
MG,3145901,Ouro Branco,98.147,99.609,44.536,47.509,19.385,7888,
MG,3146008,Ouro Fino,97.62,99.548,31.53,45.302,8.03,8574,
MG,3146107,Ouro Preto,95.052,98.237,31.187,38.105,10.94,16942,
MG,3146206,Ouro Verde de Minas,45.484,70.281,4.48,8.548,1.384,1550,
MG,3146255,Padre Carvalho,53.588,67.873,2.98,7.912,0.347,1118,
MG,3146305,Padre Paraíso,60.989,81.016,7.963,8.466,1.613,4163,
MG,3146404,Paineiras,86.895,95.365,10.698,31.101,1.346,1574,
MG,3146503,Pains,95.828,99.745,21.467,37.825,3.778,2314,
MG,3146552,Pai Pedro,14.211,59.025,3.159,7.001,0.213,1350,
MG,3146602,Paiva,96.214,97.024,19.312,22.286,1.903,450,
MG,3146701,Palma,92.063,94.816,18.613,20.554,4.171,1885,
MG,3146750,Palmópolis,34.403,65.541,4.023,5.184,0.204,1911,
MG,3146909,Papagaios,89.319,97.512,27.546,24.571,3.367,3160,
MG,3147006,Paracatu,82.416,94.7,32.048,27.867,5.95,18896,
MG,3147105,Pará de Minas,98.272,99.548,54.191,40.56,7.624,19710,
MG,3147204,Paraguaçu,98.775,99.656,20.245,41.072,6.183,5209,
MG,3147303,Paraisópolis,96.413,98.028,22.671,39.312,10.38,5053,
MG,3147402,Paraopeba,86.395,99.019,25.513,28.734,4.214,5424,
MG,3147501,Passabém,59.88,82.87,10.373,18.89,1.11,504,
MG,3147600,Passa Quatro,96.7,99.65,41.746,35.005,9.975,4014,
MG,3147709,Passa Tempo,95.661,96.631,16.907,33.448,2.719,2408,
MG,3147808,Passa-Vinte,86.783,90.093,18.499,29.082,2.765,629,
MG,3147907,Passos,98.17,99.431,37.103,43.023,9.886,27622,
MG,3147956,Patis,29.911,68.075,3.244,8.613,0.352,1129,
MG,3148004,Patos de Minas,96.893,99.575,52.083,40.261,8.719,35730,
MG,3148103,Patrocínio,96.021,98.565,31.32,41.03,5.664,19883,
MG,3148202,Patrocínio do Muriaé,95.864,96.371,18.586,23.073,2.864,1424,
MG,3148301,Paula Cândido,88.944,86.657,8.323,17.833,2.589,2237,
MG,3148400,Paulistas,58.783,77.699,7.074,14.206,0.694,1187,
MG,3148509,Pavão,60.449,84.814,6.572,8.699,1.905,2210,
MG,3148608,Peçanha,52.937,72.075,10.306,14.064,2.115,4134,
MG,3148707,Pedra Azul,62.19,91.96,14.638,12.757,2.287,5551,
MG,3148756,Pedra Bonita,85.188,95.283,2.887,32.12,0.547,1444,
MG,3148806,Pedra do Anta,85.106,86.324,10.56,19.428,2.165,1040,
MG,3148905,Pedra do Indaiá,91.645,97.182,13.417,38.277,2.768,1174,
MG,3149002,Pedra Dourada,94.919,98.316,11.756,24.59,1.895,497,
MG,3149101,Pedralva,95.111,99.659,16.348,31.421,4.028,3084,
MG,3149150,Pedras de Maria da Cruz,46.191,86.128,8.3,7.461,0.531,1895,
MG,3149200,Pedrinópolis,98.127,98.434,31.745,44.131,4.024,974,
MG,3149309,Pedro Leopoldo,94.641,99.482,57.632,34.114,10.755,14072,
MG,3149408,Pedro Teixeira,88.43,91.072,13.228,23.569,1.931,488,
MG,3149507,Pequeri,98.93,98.678,35.711,24.166,4.724,895,
MG,3149606,Pequi,94.882,98.622,30.588,26.976,3.391,1024,
MG,3149705,Perdigão,97.561,99.631,30.407,43.772,5.669,1642,
MG,3149804,Perdizes,91.176,95.208,15.577,49.481,3.182,3605,
MG,3149903,Perdões,98.199,99.56,15.56,39.901,4.568,5354,
MG,3149952,Periquito,72.68,92.681,7.473,11.769,1.016,1857,
MG,3150000,Pescador,72.551,91.728,12.759,10.989,0.769,996,
MG,3150109,Piau,93.245,93.731,13.478,25.569,1.77,830,
MG,3150158,Piedade de Caratinga,91.581,97.539,7.525,21.754,0.602,1381,
MG,3150208,Piedade de Ponte Nova,94.422,97.273,11.012,18.838,2.212,1010,
MG,3150307,Piedade do Rio Grande,89.592,93.645,11.193,21.265,2.035,1425,
MG,3150406,Piedade dos Gerais,85.472,92.015,8.574,26.68,0.771,1259,
MG,3150505,Pimenta,95.962,99.343,18.761,34.593,3.243,2276,
MG,3150539,Pingo-d'Água,89.445,95.582,12.426,15.157,2.052,921,
MG,3150570,Pintópolis,30.425,61.237,2.693,4.647,0.479,1402,
MG,3150604,Piracema,86.173,97.358,9.393,28.617,1.531,1872,
MG,3150703,Pirajuba,96.973,98.426,32.516,38.585,2.823,832,
MG,3150802,Piranga,75.758,69.019,6.983,18.023,2.52,3997,
MG,3150901,Piranguçu,94.651,97.93,12.383,30.563,2.538,1370,
MG,3151008,Piranguinho,95.536,99.05,17.487,31.533,6.317,1977,
MG,3151107,Pirapetinga,96.775,97.98,16.162,27.198,4.765,2983,
MG,3151206,Pirapora,91.406,97.15,40.196,23.197,6.157,12373,
MG,3151305,Piraúba,97.56,97.263,16.009,24.37,3.073,2978,
MG,3151404,Pitangui,96.618,99.488,52.483,34.295,6.05,6100,
MG,3151503,Piumhi,97.319,99.243,27.33,42.637,7.588,8760,
MG,3151602,Planura,98.295,98.451,33.749,34.31,5.256,2353,
MG,3151701,Poço Fundo,98.105,99.067,17.644,47.802,4.079,4423,
MG,3151800,Poços de Caldas,99.433,99.928,66.508,50.886,15.093,40272,
MG,3151909,Pocrane,83.666,90.073,7.128,16.394,1.438,2785,
MG,3152006,Pompéu,85.695,96.94,13.737,24.34,2.889,6807,
MG,3152105,Ponte Nova,96.643,98.319,39.499,28.98,8.006,14842,
MG,3152131,Ponto Chique,26.07,75.246,8.509,10.553,0.446,812,
MG,3152170,Ponto dos Volantes,35.206,47.51,2.947,7.276,0.295,2438,
MG,3152204,Porteirinha,52.997,84.036,7.096,12.759,1.928,9121,
MG,3152303,Porto Firme,87.806,87.136,7.255,20.135,1.685,2270,
MG,3152402,Poté,59.063,86.133,3.23,10.607,1.909,3617,
MG,3152501,Pouso Alegre,98.482,99.839,62.58,44.557,13.638,29965,
